Episode,Step,Agent,Mode,Action,Observation,Next Observation,Reward,Total Reward,Cooperative Reward,Done
1,1,adversary_0,cooperative,0.0,"[ 0.          0.          0.5479121  -0.12224312 -1.2173076   0.03293781
 -0.7804757   0.8904201   0.16928375  0.51697916 -1.3595574   1.0734879
 -0.02563269  0.69437176  0.          0.        ]","[ 0.          0.          0.71719587  0.39473605 -1.3865913  -0.48404136
 -0.9497594   0.37344092 -0.16928375 -0.51697916 -1.5288411   0.55650866
 -0.19491644  0.17739256  0.          0.        ]",0.0,0.0,0.0,False
1,1,adversary_1,cooperative,1.0,"[ 0.          0.          0.71719587  0.39473605 -1.3865913  -0.48404136
 -0.9497594   0.37344092 -0.16928375 -0.51697916 -1.5288411   0.55650866
 -0.19491644  0.17739256  0.          0.        ]","[ 0.          0.         -0.8116453   0.9512447   0.14224984 -1.04055
  0.5790818  -0.18306772  1.3595574  -1.0734879   1.5288411  -0.55650866
  1.3339247  -0.3791161   0.          0.        ]",0.0,0.0,0.0,False
1,1,adversary_2,cooperative,1.0,"[ 0.          0.         -0.8116453   0.9512447   0.14224984 -1.04055
  0.5790818  -0.18306772  1.3595574  -1.0734879   1.5288411  -0.55650866
  1.3339247  -0.3791161   0.          0.        ]","[ 0.          0.          0.5222794   0.5721286  -1.1916748  -0.66143394
 -0.75484294  0.19604836  0.02563269 -0.69437176  0.19491644 -0.17739256
 -1.3339247   0.3791161 ]",0.0,0.0,0.0,False
1,1,agent_0,cooperative,0.0,"[ 0.          0.          0.5222794   0.5721286  -1.1916748  -0.66143394
 -0.75484294  0.19604836  0.02563269 -0.69437176  0.19491644 -0.17739256
 -1.3339247   0.3791161 ]","[-0.         -0.          0.5479121  -0.12224312 -1.2173076   0.03293781
 -0.7804757   0.8904201   0.16928375  0.51697916 -1.3595574   1.0734879
 -0.02563269  0.69437176 -0.          0.        ]",0.0,0.0,0.0,False
1,1,adversary_0,cooperative,1.0,"[-0.         -0.          0.5479121  -0.12224312 -1.2173076   0.03293781
 -0.7804757   0.8904201   0.16928375  0.51697916 -1.3595574   1.0734879
 -0.02563269  0.69437176 -0.          0.        ]","[-0.3        -0.          0.71719587  0.39473605 -1.3865913  -0.48404136
 -0.9497594   0.37344092 -0.16928375 -0.51697916 -1.5288411   0.55650866
 -0.19491644  0.17739256 -0.          0.        ]",0.0,0.0,0.0,False
1,1,adversary_1,cooperative,1.0,"[-0.3        -0.          0.71719587  0.39473605 -1.3865913  -0.48404136
 -0.9497594   0.37344092 -0.16928375 -0.51697916 -1.5288411   0.55650866
 -0.19491644  0.17739256 -0.          0.        ]","[-0.3         0.         -0.8116453   0.9512447   0.14224984 -1.04055
  0.5790818  -0.18306772  1.3595574  -1.0734879   1.5288411  -0.55650866
  1.3339247  -0.3791161  -0.          0.        ]",0.0,0.0,0.0,False
1,1,adversary_2,cooperative,3.0,"[-0.3         0.         -0.8116453   0.9512447   0.14224984 -1.04055
  0.5790818  -0.18306772  1.3595574  -1.0734879   1.5288411  -0.55650866
  1.3339247  -0.3791161  -0.          0.        ]","[-0.          0.          0.5222794   0.5721286  -1.1916748  -0.66143394
 -0.75484294  0.19604836  0.02563269 -0.69437176  0.19491644 -0.17739256
 -1.3339247   0.3791161 ]",0.0,0.0,0.0,False
1,1,agent_0,cooperative,0.0,"[-0.          0.          0.5222794   0.5721286  -1.1916748  -0.66143394
 -0.75484294  0.19604836  0.02563269 -0.69437176  0.19491644 -0.17739256
 -1.3339247   0.3791161 ]","[-0.3        -0.          0.5479121  -0.12224312 -1.2173076   0.03293781
 -0.7804757   0.8904201   0.13928375  0.51697916 -1.3895574   1.0734879
 -0.02563269  0.69437176 -0.          0.        ]",0.0,0.0,0.0,False
1,1,adversary_0,cooperative,1.0,"[-0.3        -0.          0.5479121  -0.12224312 -1.2173076   0.03293781
 -0.7804757   0.8904201   0.13928375  0.51697916 -1.3895574   1.0734879
 -0.02563269  0.69437176 -0.          0.        ]","[-0.525      -0.          0.68719584  0.39473605 -1.3565913  -0.48404136
 -0.9197594   0.37344092 -0.13928375 -0.51697916 -1.5288411   0.55650866
 -0.16491644  0.17739256 -0.          0.        ]",0.0,0.0,0.0,False
1,1,adversary_1,cooperative,3.0,"[-0.525      -0.          0.68719584  0.39473605 -1.3565913  -0.48404136
 -0.9197594   0.37344092 -0.13928375 -0.51697916 -1.5288411   0.55650866
 -0.16491644  0.17739256 -0.          0.        ]","[-0.225      -0.3        -0.8416453   0.9512447   0.17224984 -1.04055
  0.60908175 -0.18306772  1.3895574  -1.0734879   1.5288411  -0.55650866
  1.3639247  -0.3791161  -0.          0.        ]",0.0,0.0,0.0,False
